Sexe;Epreuve;Points;Perf;Code epreuve
Men;100m;800;11.30;Men-100m
Men;200m;800;22.95;Men-200m
Men;300m;800;36.29;Men-300m
Men;400m;800;51.00;Men-400m
Men;500m;800;1:07.01;Men-500m
Men;110mH / 100mH;800;15.58;Men-110mH / 100mH
Men;400mH;800;57.22;Men-400mH
Men;4x100m;800;44.05;Men-4x100m
Men;4x200m;800;1:32.15;Men-4x200m
Men;4x400m;800;3:28.13;Men-4x400m
Men;600m;800;1:23.95;Men-600m
Men;800m;800;1:58.43;Men-800m
Men;1000m;800;2:33.09;Men-1000m
Men;1500m;800;4:04.73;Men-1500m
Men;Mile;800;4:24.02;Men-Mile
Men;2000m;800;5:36.47;Men-2000m
Men;HJ;800;-;Men-HJ
Men;PV;800;-;Men-PV
Men;LJ;800;-;Men-LJ
Men;TJ;800;13.53;Men-TJ
Men;SP;800;14.60;Men-SP
Men;DT;800;45.76;Men-DT
Men;HT;800;53.93;Men-HT
Men;JT;800;58.72;Men-JT
Men;Decathlon / Heptathlon;800;5861;Men-Decathlon / Heptathlon
Men;100m;801;-;Men-100m
Men;200m;801;22.94;Men-200m
Men;300m;801;36.27;Men-300m
Men;400m;801;50.99;Men-400m
Men;500m;801;1:06.99;Men-500m
Men;110mH / 100mH;801;15.57;Men-110mH / 100mH
Men;400mH;801;57.19;Men-400mH
Men;4x100m;801;44.04;Men-4x100m
Men;4x200m;801;1:32.12;Men-4x200m
Men;4x400m;801;3:28.05;Men-4x400m
Men;600m;801;1:23.92;Men-600m
Men;800m;801;1:58.39;Men-800m
Men;1000m;801;2:33.04;Men-1000m
Men;1500m;801;4:04.64;Men-1500m
Men;Mile;801;4:23.93;Men-Mile
Men;2000m;801;5:36.35;Men-2000m
Men;HJ;801;1.87;Men-HJ
Men;PV;801;4.28;Men-PV
Men;LJ;801;6.43;Men-LJ
Men;TJ;801;13.54;Men-TJ
Men;SP;801;14.62;Men-SP
Men;DT;801;45.82;Men-DT
Men;HT;801;54.00;Men-HT
Men;JT;801;58.79;Men-JT
Men;Decathlon / Heptathlon;801;5867;Men-Decathlon / Heptathlon
Men;100m;802;-;Men-100m
Men;200m;802;22.93;Men-200m
Men;300m;802;36.26;Men-300m
Men;400m;802;50.97;Men-400m
Men;500m;802;1:06.97;Men-500m
Men;110mH / 100mH;802;-;Men-110mH / 100mH
Men;400mH;802;57.17;Men-400mH
Men;4x100m;802;44.02;Men-4x100m
Men;4x200m;802;1:32.09;Men-4x200m
Men;4x400m;802;3:27.97;Men-4x400m
Men;600m;802;1:23.90;Men-600m
Men;800m;802;1:58.35;Men-800m
Men;1000m;802;2:32.99;Men-1000m
Men;1500m;802;4:04.55;Men-1500m
Men;Mile;802;4:23.84;Men-Mile
Men;2000m;802;5:36.23;Men-2000m
Men;HJ;802;-;Men-HJ
Men;PV;802;-;Men-PV
Men;LJ;802;-;Men-LJ
Men;TJ;802;13.55;Men-TJ
Men;SP;802;14.63;Men-SP
Men;DT;802;45.87;Men-DT
Men;HT;802;54.06;Men-HT
Men;JT;802;58.86;Men-JT
Men;Decathlon / Heptathlon;802;5874;Men-Decathlon / Heptathlon
Men;100m;803;11.29;Men-100m
Men;200m;803;22.92;Men-200m
Men;300m;803;36.25;Men-300m
Men;400m;803;50.95;Men-400m
Men;500m;803;1:06.95;Men-500m
Men;110mH / 100mH;803;15.56;Men-110mH / 100mH
Men;400mH;803;57.15;Men-400mH
Men;4x100m;803;44.01;Men-4x100m
Men;4x200m;803;1:32.06;Men-4x200m
Men;4x400m;803;3:27.90;Men-4x400m
Men;600m;803;1:23.87;Men-600m
Men;800m;803;1:58.31;Men-800m
Men;1000m;803;2:32.93;Men-1000m
Men;1500m;803;4:04.46;Men-1500m
Men;Mile;803;4:23.74;Men-Mile
Men;2000m;803;5:36.11;Men-2000m
Men;HJ;803;-;Men-HJ
Men;PV;803;4.29;Men-PV
Men;LJ;803;6.44;Men-LJ
Men;TJ;803;13.56;Men-TJ
Men;SP;803;14.65;Men-SP
Men;DT;803;45.93;Men-DT
Men;HT;803;54.13;Men-HT
Men;JT;803;58.93;Men-JT
Men;Decathlon / Heptathlon;803;5881;Men-Decathlon / Heptathlon
Men;100m;804;-;Men-100m
Men;200m;804;-;Men-200m
Men;300m;804;36.23;Men-300m
Men;400m;804;50.93;Men-400m
Men;500m;804;1:06.92;Men-500m
Men;110mH / 100mH;804;15.55;Men-110mH / 100mH
Men;400mH;804;57.12;Men-400mH
Men;4x100m;804;43.99;Men-4x100m
Men;4x200m;804;1:32.02;Men-4x200m
Men;4x400m;804;3:27.82;Men-4x400m
Men;600m;804;1:23.84;Men-600m
Men;800m;804;1:58.27;Men-800m
Men;1000m;804;2:32.88;Men-1000m
Men;1500m;804;4:04.38;Men-1500m
Men;Mile;804;4:23.65;Men-Mile
Men;2000m;804;5:36.00;Men-2000m
Men;HJ;804;-;Men-HJ
Men;PV;804;-;Men-PV
Men;LJ;804;-;Men-LJ
Men;TJ;804;13.57;Men-TJ
Men;SP;804;14.67;Men-SP
Men;DT;804;45.98;Men-DT
Men;HT;804;54.19;Men-HT
Men;JT;804;59.00;Men-JT
Men;Decathlon / Heptathlon;804;5887;Men-Decathlon / Heptathlon
Men;100m;805;11.28;Men-100m
Men;200m;805;22.91;Men-200m
Men;300m;805;36.22;Men-300m
Men;400m;805;50.92;Men-400m
Men;500m;805;1:06.90;Men-500m
Men;110mH / 100mH;805;-;Men-110mH / 100mH
Men;400mH;805;57.10;Men-400mH
Men;4x100m;805;43.97;Men-4x100m
Men;4x200m;805;1:31.99;Men-4x200m
Men;4x400m;805;3:27.74;Men-4x400m
Men;600m;805;1:23.81;Men-600m
Men;800m;805;1:58.23;Men-800m
Men;1000m;805;2:32.83;Men-1000m
Men;1500m;805;4:04.29;Men-1500m
Men;Mile;805;4:23.55;Men-Mile
Men;2000m;805;5:35.88;Men-2000m
Men;HJ;805;-;Men-HJ
Men;PV;805;-;Men-PV
Men;LJ;805;6.45;Men-LJ
Men;TJ;805;13.58;Men-TJ
Men;SP;805;14.68;Men-SP
Men;DT;805;46.04;Men-DT
Men;HT;805;54.26;Men-HT
Men;JT;805;59.08;Men-JT
Men;Decathlon / Heptathlon;805;5894;Men-Decathlon / Heptathlon
Men;100m;806;-;Men-100m
Men;200m;806;22.90;Men-200m
Men;300m;806;36.21;Men-300m
Men;400m;806;50.90;Men-400m
Men;500m;806;1:06.88;Men-500m
Men;110mH / 100mH;806;15.54;Men-110mH / 100mH
Men;400mH;806;57.07;Men-400mH
Men;4x100m;806;43.96;Men-4x100m
Men;4x200m;806;1:31.96;Men-4x200m
Men;4x400m;806;3:27.66;Men-4x400m
Men;600m;806;1:23.78;Men-600m
Men;800m;806;1:58.19;Men-800m
Men;1000m;806;2:32.78;Men-1000m
Men;1500m;806;4:04.20;Men-1500m
Men;Mile;806;4:23.46;Men-Mile
Men;2000m;806;5:35.76;Men-2000m
Men;HJ;806;-;Men-HJ
Men;PV;806;4.30;Men-PV
Men;LJ;806;-;Men-LJ
Men;TJ;806;13.59;Men-TJ
Men;SP;806;14.70;Men-SP
Men;DT;806;46.09;Men-DT
Men;HT;806;54.32;Men-HT
Men;JT;806;59.15;Men-JT
Men;Decathlon / Heptathlon;806;5901;Men-Decathlon / Heptathlon
Men;100m;807;-;Men-100m
Men;200m;807;22.89;Men-200m
Men;300m;807;36.20;Men-300m
Men;400m;807;50.88;Men-400m
Men;500m;807;1:06.85;Men-500m
Men;110mH / 100mH;807;15.53;Men-110mH / 100mH
Men;400mH;807;57.05;Men-400mH
Men;4x100m;807;43.94;Men-4x100m
Men;4x200m;807;1:31.93;Men-4x200m
Men;4x400m;807;3:27.58;Men-4x400m
Men;600m;807;1:23.75;Men-600m
Men;800m;807;1:58.15;Men-800m
Men;1000m;807;2:32.72;Men-1000m
Men;1500m;807;4:04.11;Men-1500m
Men;Mile;807;4:23.37;Men-Mile
Men;2000m;807;5:35.64;Men-2000m
Men;HJ;807;-;Men-HJ
Men;PV;807;-;Men-PV
Men;LJ;807;6.46;Men-LJ
Men;TJ;807;13.60;Men-TJ
Men;SP;807;14.72;Men-SP
Men;DT;807;46.15;Men-DT
Men;HT;807;54.39;Men-HT
Men;JT;807;59.22;Men-JT
Men;Decathlon / Heptathlon;807;5907;Men-Decathlon / Heptathlon
Men;100m;808;11.27;Men-100m
Men;200m;808;-;Men-200m
Men;300m;808;36.18;Men-300m
Men;400m;808;50.86;Men-400m
Men;500m;808;1:06.83;Men-500m
Men;110mH / 100mH;808;-;Men-110mH / 100mH
Men;400mH;808;57.03;Men-400mH
Men;4x100m;808;43.93;Men-4x100m
Men;4x200m;808;1:31.89;Men-4x200m
Men;4x400m;808;3:27.50;Men-4x400m
Men;600m;808;1:23.73;Men-600m
Men;800m;808;1:58.11;Men-800m
Men;1000m;808;2:32.67;Men-1000m
Men;1500m;808;4:04.03;Men-1500m
Men;Mile;808;4:23.27;Men-Mile
Men;2000m;808;5:35.52;Men-2000m
Men;HJ;808;-;Men-HJ
Men;PV;808;-;Men-PV
Men;LJ;808;-;Men-LJ
Men;TJ;808;13.61;Men-TJ
Men;SP;808;14.74;Men-SP
Men;DT;808;46.20;Men-DT
Men;HT;808;54.45;Men-HT
Men;JT;808;59.29;Men-JT
Men;Decathlon / Heptathlon;808;5914;Men-Decathlon / Heptathlon
Men;100m;809;-;Men-100m
Men;200m;809;22.88;Men-200m
Men;300m;809;36.17;Men-300m
Men;400m;809;50.85;Men-400m
Men;500m;809;1:06.81;Men-500m
Men;110mH / 100mH;809;15.52;Men-110mH / 100mH
Men;400mH;809;57.00;Men-400mH
Men;4x100m;809;43.91;Men-4x100m
Men;4x200m;809;1:31.86;Men-4x200m
Men;4x400m;809;3:27.43;Men-4x400m
Men;600m;809;1:23.70;Men-600m
Men;800m;809;1:58.07;Men-800m
Men;1000m;809;2:32.62;Men-1000m
Men;1500m;809;4:03.94;Men-1500m
Men;Mile;809;4:23.18;Men-Mile
Men;2000m;809;5:35.40;Men-2000m
Men;HJ;809;-;Men-HJ
Men;PV;809;4.31;Men-PV
Men;LJ;809;6.47;Men-LJ
Men;TJ;809;13.62;Men-TJ
Men;SP;809;14.75;Men-SP
Men;DT;809;46.26;Men-DT
Men;HT;809;54.52;Men-HT
Men;JT;809;59.36;Men-JT
Men;Decathlon / Heptathlon;809;5920;Men-Decathlon / Heptathlon
Men;100m;810;-;Men-100m
Men;200m;810;22.87;Men-200m
Men;300m;810;36.16;Men-300m
Men;400m;810;50.83;Men-400m
Men;500m;810;1:06.78;Men-500m
Men;110mH / 100mH;810;-;Men-110mH / 100mH
Men;400mH;810;56.98;Men-400mH
Men;4x100m;810;43.90;Men-4x100m
Men;4x200m;810;1:31.83;Men-4x200m
Men;4x400m;810;3:27.35;Men-4x400m
Men;600m;810;1:23.67;Men-600m
